"LINE","MODEL OF DAIKIN ALTHERMA LT UNIT","MODEL OF ROTEX HPSU LT UNIT"
"Altherma 3 - Integrated - Low Temperature Split - Floor standing unit","EHVH-D"," "
"Altherma 3 - Integrated - Low Temperature Split - Floor standing unit","EHVH-E"," "
"Altherma 3 - Integrated - Low Temperature Split - Floor standing unit","EHVX-D"," "
"Altherma 3 - Integrated - Low Temperature Split - Floor standing unit","EHVX-E"," "
"Altherma 3 - Integrated - Low Temperature Split - Floor standing unit","EHVZ-D"," "
"Altherma 3 - Integrated - Low Temperature Split - Floor standing unit","EHVZ-E"," "
"Altherma 3 - Wall mounted - Low Temperature Split","EHBH-D","RHBX-D"
"Altherma 3 - Wall mounted - Low Temperature Split","EHBH-E","RHBX-D"
"Altherma 3 - Wall mounted - Low Temperature Split","EHBX-D","RHBX-D"
"Altherma 3 - Wall mounted - Low Temperature Split","EHBX-E","RHBX-D"
"Altherma 3 - Hydrosplit - Integrated","EAVX-D"," "
"Altherma 3 - Hydrosplit - Integrated","EAVH-D"," "
"Altherma 3 - Hydrosplit - Integrated","EAVZ-D"," "
"Altherma 3 - Hydrosplit - Wall mounted","EABX-D"," "
"Altherma 3 - Hydrosplit - Wall mounted","EABH-D"," "
"Altherma 3 - Ground Source Heat Pump","EGSAH-"," "
"Altherma 3 - Ground Source Heat Pump","EGSAX-"," "
"Altherma 3 Low Temperature Monobloc","EBLA"," "
"Altherma 3 Low Temperature Monobloc","EDLA-"," "
"Low Temperature Split - Wall Mounted Unit","EHBH-C","RHBH-C"
"Low Temperature Split - Wall Mounted Unit","EHBX-C","RHBX-C"
"Low Temperature Split - Floor Standing Unit","EHVH-C"," "
"Low Temperature Split - Floor Standing Unit","EHVX-C"," "
"Low Temperature Split - Floor Standing Unit","EHVZ-C"," "
"Altherma Hybrid","EHYHBH-"," "
"Altherma Hybrid","EHYHBX-"," "
"Altherma Hybrid","CHYHBH-"," "
"Altherma Ground Source Heat Pump","EGSQH-"," "
"Altherma Low Temperature Monobloc","EBLQ-","RBLQ-"
"Altherma Low Temperature Monobloc","EDLQ-","RDLQ-"
