"LINE","DAIKIN INDOOR UNIT MODEL VRV","DAIKIN INDOOR UNIT MODEL SKY AIR"
"2-way blow ceiling mounted cassette","FXCQ-","FFQ-"
"4-way blow ceiling mounted cassette","FXZA-","FFA-"
"4-way blow ceiling mounted cassette","FXZQ-","FHC-"
"4-way blow ceiling mounted cassette"," ","FHYC-"
"4-way blow ceiling mounted cassette"," ","FHYCP-"
"Ceiling mounted corner cassette","FXKQ-","FHK-"
"Ceiling mounted corner cassette","FXKA-","FHYK-"
"4-way blow ceiling suspended unit","FXUQ-","FUQ-"
"4-way blow ceiling suspended unit","FXUA-","FUY-"
"4-way blow ceiling suspended unit"," ","FUA-"
"Round flow ceiling mounted cassette","FXFA-","FCQ-"
"Round flow ceiling mounted cassette","FXEQ-","FCQG-"
"Round flow ceiling mounted cassette","FXFQ-","FCAG-"
"Round flow ceiling mounted cassette","FXFSQ-","FCQHG-"
"Round flow ceiling mounted cassette"," ","FCAHG-"
"Round flow ceiling mounted cassette Commercial Multi System"," ","FMCQ-"
"Round flow ceiling mounted cassette Commercial Multi System"," ","FMDQ-"
"Ceiling suspended unit","FXHQ-","FHQ-"
"Ceiling suspended unit","FXHA-","FHA-"
"Ceiling suspended unit"," ","FHQG-"
"Ceiling suspended unit"," ","FH-"
"Ceiling suspended unit"," ","FHY-"
"Ceiling mounted build-in","FXTQ-","FHB-"
"Ceiling mounted build-in"," ","FHYB-"
"Slim concealed ceiling unit","FXDA-","FDXS-F"
"Slim concealed ceiling unit","FXDQ-","FDYB-"
"Slim concealed ceiling unit"," ","FDXM-"
"Slim concealed ceiling unit"," ","ADEQ-"
"Slim concealed ceiling unit"," ","ADEA-"
"Concealed ceiling unit","FXYSP-","FDYM-"
"Large concealed ceiling unit","FXMQ-","FDQ-"
"Large concealed ceiling unit","FXMA-","FDA-"
"Large concealed ceiling unit"," ","FDEQ-"
"Large concealed ceiling unit"," ","FD-"
"Large concealed ceiling unit"," ","FDY-"
"Inverter driven concealed ceiling unit","FXSA-","FBQ-"
"Inverter driven concealed ceiling unit","FXSQ-","FBA-"
"Inverter driven concealed ceiling unit"," ","FDBQ-"
"Inverter driven concealed ceiling unit"," ","FBK-"
"Inverter driven concealed ceiling unit"," ","FHYBP-"
"Inverter driven concealed ceiling unit"," ","FNQ-"
"Inverter driven concealed ceiling unit"," ","FNA-"
" ","FXNQ-","FVQ-"
"Concealed floor standing units","FXLQ-","FVA-"
" ","FXNA-","FV-"
" "," ","FVY-"
" "," ","AVA-"
"Wall mounted units","FXAA-","FAQ-"
"Wall mounted units","FXAQ-","FAA-"
"Wall mounted units"," ","FA-"
"Wall mounted units"," ","FAY-"
