"TYPE","MODEL OF INDOOR UNIT","COMMENTS"
"Residential range - Wall mounted","MSZ-A"," "
"Residential range - Wall mounted","MSZ-AP"," "
"Residential range - Wall mounted","MSZ-AY"," "
"Residential range - Wall mounted","MSZ-BT"," "
"Residential range - Wall mounted","MSZ-CGE"," "
"Residential range - Wall mounted","MSZ-D"," "
"Residential range - Wall mounted","MSZ-DM"," "
"Residential range - Wall mounted","MSZ-EF"," "
"Residential range - Wall mounted","MSZ-FA/FD/FE/FH"," "
"Residential range - Wall mounted","MSZ-GA/GB/GC/GE/GF/GL"," "
"Residential range - Wall mounted","MSZ-HR"," "
"Residential range - Wall mounted","MSZ-LN"," "
"Residential range - Wall mounted","MSZ-SF"," "
"Residential range - Wall mounted","MSZ-WN"," "
"Residential range - Wall mounted","MSZ-RW"," "
"Residential range - Wall mounted","MSZ-FT"," "
"Residential range - Wall mounted","MSY-A"," "
"Residential range - Wall mounted","MSY-D"," "
"Residential range - Wall mounted","MSY-GA/GE/GL"," "
"Residential range - Wall mounted","MS-A"," "
"Residential range - Wall mounted","MSXY-FD"," "
"Residential range - Wall mounted","MSC-GA-VB"," "
"Residential range - Floor standing","MFZ-KA/KJ/KT"," "
"Residential range Ceiling cassette","MLZ-KA/KP"," "
"Mr. Slim","PCA-A"," "
"Mr. Slim","PCA-M"," "
"Mr. Slim","PCA-RP","Except PCA-RP71/125HA/HAQ"
"Mr. Slim","PCH-GAK PEA-M"," "
"Mr. Slim","PEAD-A"," "
"Mr. Slim","PEAD-M"," "
"Mr. Slim","PEAD-RP"," "
"Mr. Slim","PEAD-SM"," "
"Mr. Slim","PEAD-SP"," "
"Mr. Slim","PEAD-M-JAL"," "
"Mr. Slim","PEAD-M-JA"," "
"Mr. Slim","PEAD-SM-JA"," "
"Mr. Slim","PED-AAK"," "
"Mr. Slim","PE-EAK"," "
"Mr. Slim","PE-EAKT PE-GAK"," "
"Mr. Slim","PE-GAKT"," "
"Mr. Slim","PEH-EAK"," "
"Mr. Slim","PEH-ΕΑΚΗ"," "
"Mr. Slim","PEY-P"," "
"Mr. Slim","PKA-A"," "
"Mr. Slim","PKA-M"," "
"Mr. Slim","PKA-RP"," "
"Mr. Slim","PK-FAKLD PK-GAKLD"," "
"Mr. Slim","PKH-FAK"," "
"Mr. Slim","PKH-GAKL"," "
"Mr. Slim","PLA-A"," "
"Mr. Slim","PLA-M"," "
"Mr. Slim","PLA-RP"," "
"Mr. Slim","PLA-SM"," "
"Mr. Slim","PLA-SP"," "
"Mr. Slim","PLA-ZM"," "
"Mr. Slim","PLA-ZRP"," "
"Mr. Slim","PLY-P"," "
"Mr. Slim","PLY-SP"," "
"Mr. Slim","PL-BAK"," "
"Mr. Slim","PSA-RP"," "
"Mr. Slim","PS-GAKD"," "
"Mr. Slim","PSH-GAK"," "
"Mr. Slim","PEAM-GAA SE-AKLR"," "
"Mr. Slim","SE-AKR"," "
"Mr. Slim","SEZ-KA/KC/KD"," "
"Mr. Slim","SEZ-M"," "
"Mr. Slim","SL-AKLR"," "
"Mr. Slim","SLZ-KA/KF SLZ-M"," "
"City Multi - Ceiling cassette","PLFY-M-VEM-E"," "
"City Multi - Ceiling cassette","PLFY-P-EMG6"," "
"City Multi - Ceiling cassette","PLFY-P-NBMU-ER2"," "
"City Multi - Ceiling cassette","PLFY-P-NCMU-ER4.TH"," "
"City Multi - Ceiling cassette","PLFY-P-NFMU-E"," "
"City Multi - Ceiling cassette","PLFY-P-VBM-ER3","Adaptor is required 1"
"City Multi - Ceiling cassette","PLFY-P-VCM-E2","Adaptor is required 1"
"City Multi - Ceiling cassette","PLFY-P-VCM-ER2","Adaptor is required 1"
"City Multi - Ceiling cassette","PLFY-P-VEM-E"," "
"City Multi - Ceiling cassette","PLFY-P-VFM-E"," "
"City Multi - Ceiling cassette","PLFY-P-VFM-E1 PLFY-P-VLMD-E"," "
"City Multi - Ceiling cassette","PLFY-WL-VEM-E"," "
"City Multi - Ceiling cassette","PLFY-WL-VFM-E/-E1"," "
"City Multi - Ceiling cassette","PMFY-P-NBMU-ER5"," "
"City Multi - Ceiling cassette","PMFY-P-VBM-E#2/-ER3/-ER4"," "
"City Multi - Ceiling cassette","PMFY-P VFM-D"," "
"City Multi - Ceiling cassette","PMFY-P_VBM-D"," "
"City Multi - Ceiling cassette","PVFY-P-NAMU-E"," "
"City Multi - Ceiling concealed ducted","PEFY-M-VMA-A"," "
"City Multi - Ceiling concealed ducted","PEFY-M-VMAL-A"," "
"City Multi - Ceiling concealed ducted","PEFY-P-NMAU-E/-E2/-E3"," "
"City Multi - Ceiling concealed ducted","PEFY-P-NMHSU-E"," "
"City Multi - Ceiling concealed ducted","PEFY-P-NMHU-E/-E2"," "
"City Multi - Ceiling concealed ducted","PEFY-P-NMSU-ER2.TH"," "
"City Multi - Ceiling concealed ducted","PEFY-P-VMA-E/-E2/-E3"," "
"City Multi - Ceiling concealed ducted","PEFY-P-VMA-ER3"," "
"City Multi - Ceiling concealed ducted","PEFY-P-VMAL-E/-E2"," "
"City Multi - Ceiling concealed ducted","PEFY-P-VMH-E/-E2 PEFY-P-VMHS-E"," "
"City Multi - Ceiling concealed ducted","PEFY-P-VMR-E"," "
"City Multi - Ceiling concealed ducted","PEFY-P-VMS1-E PEFY-P-VMS1-ER2/ER3","Adaptor is required 1"
"City Multi - Ceiling concealed ducted","PEFY-P-VMS1L-ER1"," "
"City Multi - Ceiling concealed ducted","PEFY-W-VMA-A"," "
"City Multi - Ceiling concealed ducted","PEFY-W-VMAL-A"," "
"City Multi - Ceiling concealed ducted","PEFY-W-VMS-A"," "
"City Multi - Ceiling concealed ducted","PEFY-WP-VMA-E"," "
"City Multi - Ceiling concealed ducted","PEFY-WP-VMS1-E"," "
"City Multi - Ceiling concealed ducted","PVFY-P-E00","Adaptor is required 1"
"City Multi - Wall mounted","PKFY-P-NBMU-E2"," "
"City Multi - Wall mounted","PKFY-P-NHMU-E2"," "
"City Multi - Wall mounted","PKFY-P-NKMU-E2.TH PKFY-P-VBM-ER3/-ER4/-ER5"," "
"City Multi - Wall mounted","PKFY-P-VHM-ER2","Adaptor is required 1"
"City Multi - Wall mounted","PKFY-P-VKM-ER1","Adaptor is required 1"
"City Multi - Wall mounted","PKFY-P-VLM-E"," "
"City Multi - Wall mounted","PKFY-WL-VLM-E"," "
"City Multi - Floor standing","PFFY-P-NEMU-E"," "
"City Multi - Floor standing","PFFY-P-NRMU-E PFFY-P-VCM-E"," "
"City Multi - Floor standing","PFFY-P-VKM-E2 PFFY-P-VLEM-E PFFY-P-VLRM-E","Adaptor is required 1"
"City Multi - Floor standing","PFFY-P-VLRMM-E","Adaptor is required 1"
"City Multi - Floor standing","PFFY-P-VCM-E PKFY-P-VLM-E"," "
"City Multi - Ceiling suspended","PKFY-WL-VLM-E PCFY-P-NKMU-ER1.TH PCFY-P-VKM-ER1"," "
"Industrial - Ceiling concealed ducted","PEA-A"," "
"Industrial - Ceiling concealed ducted","PEA-M"," "
"Industrial - Ceiling concealed ducted","PEA-RP","Except PEA-RP400/500GAQ"
"Industrial - Ceiling concealed ducted","PEH-RP"," "
"NON-COMPATIBLE UNITS","MSZ-HA/HC/HJ"," "
"NON-COMPATIBLE UNITS","PCA-RP71125HA//HAQ"," "
"NON-COMPATIBLE UNITS","PEA-RP400/500GAQ"," "
"NON-COMPATIBLE UNITS","Check compatibility with KLIC-MITTE Serie Ecodan"," "
